744.1.1={holder=1019919255} #Xochipepe[1009990159]
770.12.09={holder=1019919256} #Tochtli[1009990159]
800.12.29={holder=1019919257} #Zipactonal[1009990159]
864.02.23={holder=1019919258} #Topiltzin[1009990159]
888.02.04={holder=1019919259} #Tizoc[1009990159]
897.08.23={holder=1019919260} #Tototl[1009990159]
919.05.14={holder=1019919261} #Moquihuix[1009990159]
973.06.10={holder=1019919262} #Opochtli[1009990159]
989.04.07={holder=1019919263} #Cacamatzin[1009990159]
1002.10.04={holder=1019919264} #Tochtli[1009990159]
1023.02.14={holder=1019919265} #Ixtlilxochitl[1009990159]
1082.04.09={holder=1019919266} #Matlal[1009990159]
1110.03.31={holder=1019919267} #Cuitlahuac[1009990159]
1114.08.12={holder=1019919317} #Huitzitl[1009990159]
1151.03.23={holder=1019919323} #Ueman[1009990159]
1166.12.15={holder=1019919325} #Tlalli[1009990159]
1220.10.23={holder=1019919329} #Tecolotl[1009990159]
1224.08.18={holder=1019919333} #Coanacoch[1009990159]

1250.01.01={holder=1019920410} #Xipil[1009990171]
1252.02.16={holder=1019920415} #Xihuitl[1009990171]
1276.05.02={holder=1019920417} #Opochtli[1009990171]
1322.01.18={holder=1019920419} #Yolyamanitzin[1009990171]
1336.07.08={holder=1019920423} #Tizoc[1009990171]
1379.10.19={holder=1019920428} #Totoquihuaztli[1009990171]
1405.02.15={holder=1019920430} #Tlaloc[1009990171]
1435.07.27={holder=1019920436} #Tezozomoc[1009990171]
