EVTDESC_US_1;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Silla.;;;;;;;;;;;;;x
EVTOPTA_US_1;A more unified Korean culture has emerged!;;;;;;;;;;;;;x,
EVTDESC_US_2;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Baekje.;;;;;;;;;;;;;x
EVTOPTA_US_2;A more unified Korean culture has emerged!;;;;;;;;;;;;;x,
EVTDESC_US_3;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Goguryeo.;;;;;;;;;;;;;x
EVTOPTA_US_3;A more unified Korean culture has emerged!;;;;;;;;;;;;;x,
EVTDESC_US_4;Languages and cultures evolve over time. Some divide and others merge together. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there no longer see themselves as a part of Buyeo.;;;;;;;;;;;;;x
EVTOPTA_US_4;A more unified Korean culture has emerged!;;;;;;;;;;;;;x,
EVTDESC_US_5;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Mohe.;;;;;;;;;;;;;x
EVTOPTA_US_5;The Jurchens have arisen!;;;;;;;;;;;;;x,
EVTDESC_US_6;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Wangozi.;;;;;;;;;;;;;x
EVTOPTA_US_6;The Swahili have arisen!;;;;;;;;;;;;;x,
EVTDESC_US_7;Languages and cultures evolve over time. The local culture in the province of [Root.GetName] has evolved over time into something new, and the people living there are no longer called Vazimba.;;;;;;;;;;;;;x
EVTOPTA_US_7;The Malagasy have arisen!;;;;;;;;;;;;;x,
EVTDESC_NC_1,;The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Aragonés in culture.
EVTOPTA_NC_1,;The times are changing.
EVTDESC_NC_2 ;The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Llionés in culture.,
EVTOPTA_NC_2,;The times are changing.
EVTDESC_NC_3 ;The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Asturianu in culture.,
EVTOPTA_NC_3 ;The times are changing.,
EVTDESC_NC_4; The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Cántabru in culture.,
EVTOPTA_NC_4 ;The times are changing.,
EVTDESC_NC_5 ; The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Estremeñu in culture.,
EVTOPTA_NC_5 ; The times are changing.,
EVTDESC_NC_6 ; The Espannolo in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Andalusí in culture.,
EVTOPTA_NC_6 ; The times are changing,
EVTDESC_NC_7 ; ;Through foreign trade and Espannolo influence new traditions are evolving among the Sweböz. This is highly noticeable in the county of [Root.GetName] which is Galego in culture.,
EVTOPTA_NC_7 ;The times are changing,
EVTDESC_NC_8; The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norrönt culture. They have begun to refer to themselves as Íslenskur.,
EVTOPTA_NC_8; ,What will they think of next I wonder
EVTOPTB_NC_8; Welcome to the fold my Íslenskur brothers and sisters.,
